,tra_sup_loss_mean,tra_dice_DSC1,tra_dice_DSC2,tra_dice_DSC3,val_loss_mean,val_dice_DSC1,val_dice_DSC2,val_dice_DSC3,val_bdice_DSC1,val_bdice_DSC2,val_bdice_DSC3,reg_weight_mean,lr_mean,unlab_marginal_gap_mean,unlab_fmarginal_gap_mean,unlab_centropy_mean,__unlab_marginal_average_mean,__unlab_fmarginal_average_mean,test_marginal_gap_mean,test_fmarginal_gap_mean,test_centropy_mean,__test_marginal_average_mean,__test_fmarginal_average_mean
0,1.3027519162278618,0.02285177633166313,0.048706330358982086,0.05771438032388687,1.034826736450195,0.011542847380042076,0.020619956776499748,0.02589932642877102,0.013792354613542557,0.021028684452176094,0.026627950370311737,0.0,0.0001,0.9930805370677259,0.009640956370276404,1.3069610174279662,"tensor([0.3022, 0.1908, 0.2630, 0.2440], device='cuda:0')","tensor([0.2738, 0.3767, 0.3495], device='cuda:0')",0.7353361487388611,0.0016412905370816588,1.2143298363685608,"tensor([0.4077, 0.1582, 0.2194, 0.2147], device='cuda:0')","tensor([0.2664, 0.3701, 0.3635], device='cuda:0')"
1,0.3208997993206139,0.19894422590732574,0.035624582320451736,0.047612156718969345,0.13331093430519103,0.18859648704528809,0.030701754614710808,0.048245616257190704,3.834403714680912e-12,2.7610151578233433e-12,3.6181049475891847e-12,0.0,0.00309,0.06717892320739337,0.005553708833758719,0.4185804244480096,"tensor([0.8826, 0.0334, 0.0436, 0.0405], device='cuda:0')","tensor([0.2854, 0.3716, 0.3429], device='cuda:0')",0.0024395029060542577,9.594112634658815e-05,0.21552223086357117,"tensor([0.9477, 0.0150, 0.0197, 0.0176], device='cuda:0')","tensor([0.2861, 0.3771, 0.3367], device='cuda:0')"
2,0.18995762761915094,0.20947265625,0.03759765625,0.05029296875,0.10896468728780746,0.18859648704528809,0.030701754614710808,0.048245616257190704,3.834403714680912e-12,2.7610151578233433e-12,3.6181049475891847e-12,0.0,0.00608,0.0030352793546626336,0.0053207220698823264,0.2159333195886574,"tensor([0.9352, 0.0184, 0.0245, 0.0219], device='cuda:0')","tensor([0.2846, 0.3780, 0.3374], device='cuda:0')",0.0019738016277551645,0.0007903903350234032,0.15870945811271667,"tensor([0.9495, 0.0138, 0.0194, 0.0173], device='cuda:0')","tensor([0.2737, 0.3847, 0.3416], device='cuda:0')"
3,0.15528351911052576,0.21142578125,0.06569433212280273,0.04931841790676117,0.09375805839896201,0.18859648704528809,0.3418225049972534,0.030711578205227852,3.834403714680912e-12,0.3492075502872467,1.0771512279461604e-05,0.0,0.00907,0.003603188147280885,0.010873493454710116,0.1781957467901522,"tensor([0.9327, 0.0175, 0.0261, 0.0237], device='cuda:0')","tensor([0.2601, 0.3884, 0.3515], device='cuda:0')",0.0014911634288728235,0.004228021129965782,0.12334083676338195,"tensor([0.9533, 0.0117, 0.0185, 0.0165], device='cuda:0')","tensor([0.2506, 0.3959, 0.3535], device='cuda:0')"
4,0.13530889175308403,0.2109375,0.40659433603286743,0.07901331782341003,0.08715137898921967,0.18859648704528809,0.1694587916135788,0.46065953373908997,3.834403714680912e-12,0.17160405218601227,0.49769553542137146,0.0,0.01206,0.0031044386792018486,0.018453564633091467,0.15737222747702626,"tensor([0.9297, 0.0171, 0.0278, 0.0255], device='cuda:0')","tensor([0.2435, 0.3949, 0.3616], device='cuda:0')",0.0005114030744880438,0.00568809784948826,0.09733300864696502,"tensor([0.9598, 0.0098, 0.0162, 0.0142], device='cuda:0')","tensor([0.2451, 0.4035, 0.3513], device='cuda:0')"
5,0.12212288111186348,0.2119140625,0.2883176803588867,0.584355354309082,0.0853044044971466,0.18859648704528809,0.2157939076423645,0.5034767985343933,3.834403714680912e-12,0.22031690180301666,0.5438450574874878,0.0,0.015050000000000001,0.0030264567485573956,0.021018958497734278,0.14456133125349888,"tensor([0.9281, 0.0173, 0.0286, 0.0261], device='cuda:0')","tensor([0.2405, 0.3977, 0.3618], device='cuda:0')",0.0003989709797315299,0.005755559504032135,0.0872240610420704,"tensor([0.9603, 0.0097, 0.0161, 0.0139], device='cuda:0')","tensor([0.2458, 0.4073, 0.3469], device='cuda:0')"
6,0.11299281841638735,0.208984375,0.3630829155445099,0.610321044921875,0.08450978279113769,0.18859648704528809,0.24743042886257172,0.49720925092697144,3.834403714680912e-12,0.25879788398742676,0.5393257141113281,0.0,0.01804,0.0027576094707910653,0.021930156413873195,0.13569436721445516,"tensor([0.9272, 0.0174, 0.0292, 0.0262], device='cuda:0')","tensor([0.2401, 0.4016, 0.3583], device='cuda:0')",0.0006415661552455275,0.00591455340385437,0.06881889522075653,"tensor([0.9683, 0.0079, 0.0132, 0.0106], device='cuda:0')","tensor([0.2528, 0.4200, 0.3272], device='cuda:0')"
7,0.10613253682095096,0.20947265625,0.42697811126708984,0.6306126117706299,0.07718637645244596,0.18859648704528809,0.31182509660720825,0.5667469501495361,3.834403714680912e-12,0.3231254518032074,0.6098278760910034,0.0,0.021030000000000004,0.002479581773059181,0.021492058047442704,0.13084910751786102,"tensor([0.9256, 0.0180, 0.0301, 0.0263], device='cuda:0')","tensor([0.2420, 0.4060, 0.3520], device='cuda:0')",0.0009390559629537166,0.007063336372375487,0.062200533896684645,"tensor([0.9692, 0.0077, 0.0129, 0.0102], device='cuda:0')","tensor([0.2549, 0.4260, 0.3191], device='cuda:0')"
8,0.10232184024062006,0.2094743698835373,0.4889269173145294,0.6672208309173584,0.07816531926393509,0.18859648704528809,0.3656224012374878,0.5891087055206299,3.834403714680912e-12,0.3883090615272522,0.6430501937866211,0.0,0.02402,0.002873563728826413,0.020809866648050946,0.1255370800936362,"tensor([0.9275, 0.0180, 0.0302, 0.0243], device='cuda:0')","tensor([0.2488, 0.4178, 0.3334], device='cuda:0')",0.0011728779971599578,0.012982307225465775,0.058229033499956125,"tensor([0.9707, 0.0078, 0.0129, 0.0086], device='cuda:0')","tensor([0.2700, 0.4495, 0.2805], device='cuda:0')"
9,0.09218354280164932,0.19009870290756226,0.5727715492248535,0.7835425138473511,0.0840254993736744,0.17975452542304993,0.4103270173072815,0.645808219909668,0.13375210762023926,0.42549577355384827,0.7238991856575012,0.0,0.027010000000000003,0.0026005319787145683,0.02213627423043361,0.12129844438459257,"tensor([0.9256, 0.0213, 0.0316, 0.0215], device='cuda:0')","tensor([0.2869, 0.4263, 0.2868], device='cuda:0')",0.0021832390781491994,0.017955734282732005,0.04715718924999237,"tensor([0.9736, 0.0084, 0.0110, 0.0071], device='cuda:0')","tensor([0.3236, 0.4226, 0.2538], device='cuda:0')"
